frame.number,frame.time,wlan_radio.signal_dbm,wlan_radio.11n.mcs_index,wlan_radio.data_rate
"234","Jul  2, 2020 22:24:34.526930000 AEST","-69","12","86.6667"
"235","Jul  2, 2020 22:24:34.527224000 AEST","-69","12","86.6667"
"236","Jul  2, 2020 22:24:34.527416000 AEST","-65","4","43.3333"
"237","Jul  2, 2020 22:24:35.531671000 AEST","-75","12","86.6667"
"238","Jul  2, 2020 22:24:36.532866000 AEST","-71","12","86.6667"
"239","Jul  2, 2020 22:24:37.536597000 AEST","-72","7","72.2222"
"240","Jul  2, 2020 22:24:38.539565000 AEST","-69","12","86.6667"
"241","Jul  2, 2020 22:24:39.543887000 AEST","-69","12","86.6667"
"242","Jul  2, 2020 22:24:40.546101000 AEST","-72","4","43.3333"
"243","Jul  2, 2020 22:24:41.066168000 AEST","-67","12","86.6667"
"244","Jul  2, 2020 22:24:41.066413000 AEST","-65","4","43.3333"
"245","Jul  2, 2020 22:24:41.066743000 AEST","-68","11","57.7778"
"246","Jul  2, 2020 22:24:41.067006000 AEST","-67","11","57.7778"
"247","Jul  2, 2020 22:24:41.069073000 AEST","-67","11","57.7778"
"248","Jul  2, 2020 22:24:41.069319000 AEST","-67","11","57.7778"
"249","Jul  2, 2020 22:24:41.103858000 AEST","-67","11","57.7778"
"250","Jul  2, 2020 22:24:41.178180000 AEST","-68","11","57.7778"
"251","Jul  2, 2020 22:24:41.475577000 AEST","-75","11","57.7778"
"252","Jul  2, 2020 22:24:41.548951000 AEST","-74","11","57.7778"
"253","Jul  2, 2020 22:24:41.987496000 AEST","-72","11","57.7778"
"254","Jul  2, 2020 22:24:42.551943000 AEST","-73","5","57.7778"
"255","Jul  2, 2020 22:24:42.909159000 AEST","-72","11","57.7778"
"256","Jul  2, 2020 22:24:43.554765000 AEST","-74","11","57.7778"
"257","Jul  2, 2020 22:24:44.559424000 AEST","-72","11","57.7778"
"258","Jul  2, 2020 22:24:44.751952000 AEST","-73","11","57.7778"
"259","Jul  2, 2020 22:24:45.560524000 AEST","-74","11","57.7778"
"260","Jul  2, 2020 22:24:46.561996000 AEST","-74","11","57.7778"
"261","Jul  2, 2020 22:24:47.562172000 AEST","-74","11","57.7778"
"262","Jul  2, 2020 22:24:48.029189000 AEST","-73","11","57.7778"
"263","Jul  2, 2020 22:24:48.029499000 AEST","-73","11","57.7778"
"264","Jul  2, 2020 22:24:48.046680000 AEST","-73","11","57.7778"
"265","Jul  2, 2020 22:24:48.562311000 AEST","-73","11","57.7778"
"266","Jul  2, 2020 22:24:49.423402000 AEST","-73","11","57.7778"
"267","Jul  2, 2020 22:24:49.566180000 AEST","-73","11","57.7778"
"268","Jul  2, 2020 22:24:50.565949000 AEST","-73","11","57.7778"
"269","Jul  2, 2020 22:24:51.123217000 AEST","-73","11","57.7778"
"270","Jul  2, 2020 22:24:51.233200000 AEST","-73","11","57.7778"
"271","Jul  2, 2020 22:24:51.567547000 AEST","-73","11","57.7778"
"272","Jul  2, 2020 22:24:52.571387000 AEST","-73","11","57.7778"
"273","Jul  2, 2020 22:24:52.572766000 AEST","-73","11","57.7778"
"274","Jul  2, 2020 22:24:53.575389000 AEST","-73","5","57.7778"
"275","Jul  2, 2020 22:24:54.576939000 AEST","-74","11","57.7778"
"276","Jul  2, 2020 22:24:55.299536000 AEST","-74","11","57.7778"
"277","Jul  2, 2020 22:24:55.577747000 AEST","-73","11","57.7778"
"278","Jul  2, 2020 22:24:55.578216000 AEST","-73","11","57.7778"
"279","Jul  2, 2020 22:24:55.579015000 AEST","-73","12","86.6667"
"280","Jul  2, 2020 22:24:56.016511000 AEST","-73","12","86.6667"
"281","Jul  2, 2020 22:24:56.253143000 AEST","-75","12","86.6667"
"282","Jul  2, 2020 22:24:56.581535000 AEST","-75","12","86.6667"
"283","Jul  2, 2020 22:24:56.581794000 AEST","-71","4","43.3333"
"284","Jul  2, 2020 22:24:57.586598000 AEST","-71","4","43.3333"
"285","Jul  2, 2020 22:24:58.587217000 AEST","-75","11","57.7778"
