frame.number,frame.time,wlan_radio.signal_dbm,wlan_radio.11n.mcs_index,wlan_radio.data_rate,wlan_radio.11n.greenfield
"226","Jul  2, 2020 22:19:00.642497000 AEST","-63","13","115.556","0"
"227","Jul  2, 2020 22:19:00.815625000 AEST","-63","13","115.556","0"
"228","Jul  2, 2020 22:19:00.828996000 AEST","-63","13","115.556","0"
"229","Jul  2, 2020 22:19:00.829381000 AEST","-63","13","115.556","0"
"230","Jul  2, 2020 22:19:00.965705000 AEST","-62","13","115.556","0"
"231","Jul  2, 2020 22:19:00.965932000 AEST","-63","13","115.556","0"
"232","Jul  2, 2020 22:19:00.975465000 AEST","-63","13","115.556","0"
"233","Jul  2, 2020 22:19:01.277047000 AEST","-65","13","115.556","0"
"234","Jul  2, 2020 22:19:01.366998000 AEST","-64","13","115.556","0"
"235","Jul  2, 2020 22:19:01.377868000 AEST","-65","13","115.556","0"
"236","Jul  2, 2020 22:19:01.397067000 AEST","-65","13","115.556","0"
"237","Jul  2, 2020 22:19:01.527657000 AEST","-63","13","115.556","0"
"238","Jul  2, 2020 22:19:01.527896000 AEST","-63","13","115.556","0"
"239","Jul  2, 2020 22:19:01.528147000 AEST","-63","13","115.556","0"
"240","Jul  2, 2020 22:19:02.094511000 AEST","-62","13","115.556","0"
"241","Jul  2, 2020 22:19:02.280967000 AEST","-64","13","115.556","0"
"242","Jul  2, 2020 22:19:02.588759000 AEST","-64","13","115.556","0"
"243","Jul  2, 2020 22:19:02.701162000 AEST","-65","13","115.556","0"
"244","Jul  2, 2020 22:19:02.865673000 AEST","-63","13","115.556","0"
"245","Jul  2, 2020 22:19:02.870111000 AEST","-63","13","115.556","0"
"246","Jul  2, 2020 22:19:03.091397000 AEST","-61","13","115.556","0"
"247","Jul  2, 2020 22:19:03.146456000 AEST","-61","13","115.556","0"
"248","Jul  2, 2020 22:19:03.171435000 AEST","-61","13","115.556","0"
"249","Jul  2, 2020 22:19:03.282954000 AEST","-63","13","115.556","0"
"250","Jul  2, 2020 22:19:03.359935000 AEST","-60","13","115.556","0"
"251","Jul  2, 2020 22:19:03.479535000 AEST","-62","13","115.556","0"
"252","Jul  2, 2020 22:19:03.662242000 AEST","-63","13","115.556","0"
"253","Jul  2, 2020 22:19:03.861491000 AEST","-61","13","115.556","0"
"254","Jul  2, 2020 22:19:04.286825000 AEST","-65","13","115.556","0"
"255","Jul  2, 2020 22:19:04.380425000 AEST","-64","14","130","0"
"256","Jul  2, 2020 22:19:04.622823000 AEST","-66","14","130","0"
"257","Jul  2, 2020 22:19:04.631211000 AEST","-67","14","130","0"
"258","Jul  2, 2020 22:19:05.289301000 AEST","-62","12","86.6667","0"
"259","Jul  2, 2020 22:19:05.422138000 AEST","-68","14","130","0"
"260","Jul  2, 2020 22:19:05.424406000 AEST","-65","12","86.6667","0"
"261","Jul  2, 2020 22:19:05.872955000 AEST","-68","4","43.3333","0"
"262","Jul  2, 2020 22:19:05.995522000 AEST","-64","13","115.556","0"
"263","Jul  2, 2020 22:19:05.995773000 AEST","-64","13","115.556","0"
"264","Jul  2, 2020 22:19:06.292480000 AEST","-68","13","115.556","0"
"265","Jul  2, 2020 22:19:07.072186000 AEST","-62","13","115.556","0"
"266","Jul  2, 2020 22:19:07.246869000 AEST","-69","13","115.556","0"
"267","Jul  2, 2020 22:19:07.247327000 AEST","-69","13","115.556","0"
"268","Jul  2, 2020 22:19:07.247605000 AEST","-69","13","115.556","0"
"269","Jul  2, 2020 22:19:07.294398000 AEST","-67","13","115.556","0"
"270","Jul  2, 2020 22:19:07.869507000 AEST","-69","13","115.556","0"
"271","Jul  2, 2020 22:19:07.946832000 AEST","-66","4","43.3333","0"
"272","Jul  2, 2020 22:19:07.948736000 AEST","-68","13","115.556","0"
"273","Jul  2, 2020 22:19:07.948976000 AEST","-66","4","43.3333","0"
"274","Jul  2, 2020 22:19:07.989490000 AEST","-69","12","86.6667","0"
"275","Jul  2, 2020 22:19:08.298269000 AEST","-70","12","86.6667","0"
"276","Jul  2, 2020 22:19:08.756516000 AEST","-67","12","86.6667","0"
"277","Jul  2, 2020 22:19:09.116469000 AEST","-68","12","86.6667","0"
"278","Jul  2, 2020 22:19:09.301944000 AEST","-68","12","86.6667","0"
"279","Jul  2, 2020 22:19:09.385542000 AEST","-68","12","86.6667","0"
"280","Jul  2, 2020 22:19:09.696594000 AEST","-68","12","86.6667","0"
"281","Jul  2, 2020 22:19:10.306847000 AEST","-70","7","72.2222","0"
"282","Jul  2, 2020 22:19:10.771323000 AEST","-69","12","86.6667","0"
"283","Jul  2, 2020 22:19:10.773495000 AEST","-70","12","86.6667","0"
"284","Jul  2, 2020 22:19:10.773697000 AEST","-70","12","86.6667","0"
"285","Jul  2, 2020 22:19:10.773989000 AEST","-69","12","86.6667","0"
"286","Jul  2, 2020 22:19:10.927747000 AEST","-70","12","86.6667","0"
"287","Jul  2, 2020 22:19:10.928035000 AEST","-70","12","86.6667","0"
"288","Jul  2, 2020 22:19:10.929931000 AEST","-69","12","86.6667","0"
