"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"1587","27.712485","46:b3:2c:81:00:f3","Broadcast","802.11","244","-71dBm","-85dBm","14dB","Beacon frame, SN=2501, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"1589","28.019854","46:b3:2c:81:00:f3","Broadcast","802.11","244","-72dBm","-85dBm","13dB","Beacon frame, SN=2502, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"1602","28.326933","46:b3:2c:81:00:f3","Broadcast","802.11","244","-70dBm","-85dBm","15dB","Beacon frame, SN=2503, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"1629","28.634000","46:b3:2c:81:00:f3","Broadcast","802.11","244","-70dBm","-85dBm","15dB","Beacon frame, SN=2504, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"1655","28.941314","46:b3:2c:81:00:f3","Broadcast","802.11","244","-71dBm","-85dBm","14dB","Beacon frame, SN=2505, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"1664","29.248595","46:b3:2c:81:00:f3","Broadcast","802.11","244","-71dBm","-84dBm","13dB","Beacon frame, SN=2506, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"1666","29.555703","46:b3:2c:81:00:f3","Broadcast","802.11","244","-71dBm","-84dBm","13dB","Beacon frame, SN=2507, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"1667","29.862915","46:b3:2c:81:00:f3","Broadcast","802.11","244","-70dBm","-84dBm","14dB","Beacon frame, SN=2508, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"1668","30.170023","46:b3:2c:81:00:f3","Broadcast","802.11","244","-70dBm","-85dBm","15dB","Beacon frame, SN=2509, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"1669","30.477338","46:b3:2c:81:00:f3","Broadcast","802.11","244","-74dBm","-85dBm","11dB","Beacon frame, SN=2510, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"1954","32.013380","46:b3:2c:81:00:f3","Broadcast","802.11","244","-71dBm","-86dBm","15dB","Beacon frame, SN=2515, FN=0, Flags=........C, BI=300, SSID=COMP4336"
